,secs,x1,x2,y1,y2
797,35.56,393,270,440,306
798,35.6,391,270,437,305
799,35.64,402,270,437,301
800,35.68,391,273,435,302
801,35.72,390,273,434,302
802,35.76,402,270,436,301
803,35.8,391,274,432,303
804,35.84,391,274,432,303
805,35.88,398,268,440,302
806,35.92,398,268,439,302
807,35.96,398,267,439,302
808,36.0,479,545,271,322
809,36.0,415,485,270,335
810,36.04,479,271,545,322
811,36.04,410,267,485,337
812,36.08,414,268,487,336
813,36.08,393,271,480,335
814,36.12,414,268,484,334
815,36.12,399,270,432,302
816,36.16,413,268,484,333
817,36.16,398,269,432,302
818,36.2,481,270,548,322
819,36.2,398,269,431,302
820,36.24,481,271,548,323
821,36.24,397,270,430,302
822,36.28,482,271,549,323
823,36.28,399,270,432,302
824,36.32,404,275,432,298
825,36.32,397,271,430,302
826,36.36,398,271,431,303
827,36.36,393,272,475,334
828,36.4,397,272,429,303
829,36.4,393,273,477,336
830,36.44,398,271,430,303
831,36.44,392,273,477,336
832,36.48,397,271,430,303
833,36.48,392,272,477,335
834,36.52,390,275,438,302
835,36.52,391,273,473,335
836,36.56,391,275,440,302
837,36.56,393,273,477,336
838,36.6,389,274,437,301
839,36.6,392,272,476,335
840,36.64,390,275,430,302
841,36.64,394,276,441,333
842,36.68,-5,280,39,312
843,36.68,391,274,439,301
844,36.72,393,275,441,333
845,36.72,388,274,436,301
846,36.76,391,274,439,301
847,36.76,398,269,432,304
848,36.8,394,274,470,330
849,36.8,402,276,429,298
850,36.84,395,275,471,330
851,36.84,397,271,431,303
852,36.88,395,275,470,330
853,36.88,402,276,428,298
854,36.92,395,272,427,303
855,36.92,401,276,427,298
856,36.96,-6,281,37,311
857,36.96,389,275,428,301
858,37.0,381,272,428,304
859,37.0,401,277,427,298
860,37.04,401,277,427,299
861,37.04,-7,281,35,311
862,37.08,389,276,428,302
863,37.08,395,270,429,304
864,37.12,387,273,427,303
865,37.12,388,276,427,301
866,37.16,388,275,427,301
867,37.16,388,273,429,302
868,37.2,484,570,270,329
869,37.24,484,269,570,329
870,37.28,387,276,426,301
871,37.32,393,275,426,300
872,37.36,388,273,428,302
873,37.4,387,273,427,303
874,37.44,390,276,437,332
875,37.48,-5,283,35,311
876,37.52,391,274,470,333
877,37.56,390,274,466,331
878,37.6,394,271,428,303
879,37.64,393,275,466,329
880,37.68,407,273,469,331
881,37.72,387,275,434,301
882,37.76,388,275,434,300
883,37.8,386,275,433,301
884,37.84,393,275,466,329
885,37.88,394,272,424,302
886,37.92,393,272,424,302
887,37.96,394,272,425,302
888,38.0,385,271,429,304
889,38.04,385,270,429,304
890,38.08,391,268,430,301
891,38.12,385,270,430,304
892,38.16,385,270,429,303
893,38.2,393,270,427,302
894,38.24,391,275,462,328
895,38.28,378,271,428,303
896,38.32,386,271,430,305
897,38.36,385,270,429,304
898,38.44,391,277,436,331
899,38.48,391,276,436,330
900,38.52,391,276,436,331
901,38.56,392,276,437,330
902,38.6,386,271,429,303
903,38.64,387,271,430,303
904,38.68,396,271,430,303
905,38.72,395,271,429,303
906,38.76,396,272,429,300
907,38.8,397,272,429,300
908,38.84,394,275,464,327
909,38.88,387,270,432,303
910,38.92,392,269,432,302
911,38.96,392,268,432,302
912,39.0,386,273,428,303
913,39.04,388,273,430,303
914,39.08,387,273,429,303
915,39.12,388,273,430,304
916,39.16,388,276,426,303
917,39.2,388,276,426,303
918,39.24,388,276,427,303
919,39.28,389,276,428,303
920,39.32,-6,282,30,308
921,39.36,403,277,427,297
922,39.4,395,275,428,300
923,39.44,388,275,427,302
924,39.48,529,264,630,342
925,39.52,525,264,627,343
926,39.56,530,263,633,343
927,39.6,409,472,278,327
928,39.64,406,277,471,328
929,39.68,395,275,463,327
930,39.72,394,276,463,328
931,39.76,396,271,428,303
932,39.8,395,272,428,304
933,39.84,403,279,428,299
934,39.88,404,278,428,298
935,39.92,403,278,427,298
936,39.96,395,276,438,328
937,40.0,395,276,438,328
938,40.04,396,276,439,328
939,40.08,397,274,439,326
940,40.12,398,265,433,300
941,40.16,398,264,433,298
942,40.2,394,269,468,324
943,40.24,397,267,432,302
944,40.28,398,267,433,302
945,40.32,405,276,468,324
946,40.36,382,268,434,304
947,40.4,397,276,439,327
948,40.44,396,270,429,302
949,40.48,542,258,655,346
950,40.52,548,260,662,348
951,40.56,548,261,657,345
952,40.6,386,271,429,301
953,40.64,386,271,429,301
954,40.68,387,268,431,301
955,40.72,391,270,424,300
956,40.76,402,274,467,323
957,40.8,407,471,269,322
958,40.8,535,640,266,338
959,40.84,401,274,465,323
960,40.84,535,266,641,339
961,40.88,404,273,468,323
962,40.88,536,264,647,340
963,40.92,401,273,464,322
964,40.92,398,267,431,300
965,40.96,397,267,431,300
966,40.96,404,273,466,321
967,41.0,402,272,466,321
968,41.0,387,267,431,300
969,41.04,400,274,463,322
970,41.04,538,266,645,340
971,41.08,538,267,646,341
972,41.08,387,268,433,302
973,41.12,398,272,429,299
974,41.12,386,269,431,303
975,41.16,539,268,648,342
976,41.16,387,274,427,303
977,41.2,398,272,429,299
978,41.2,400,276,463,323
979,41.24,537,266,650,344
980,41.24,387,274,427,303
981,41.28,405,277,469,326
982,41.28,407,278,469,326
983,41.32,408,276,473,326
984,41.32,388,273,429,302
985,41.36,386,274,426,302
986,41.36,395,268,432,300
987,41.4,395,268,432,300
988,41.4,-6,290,30,316
